player_id,max_speed_kmh,max_acceleration_mps2,max_deceleration_mps2
14355,35.000,4.000,6.000
14736,35.000,4.000,6.000
23418,35.000,4.000,6.000
23928,35.000,4.000,6.000
31147,35.000,4.000,6.000
33697,35.000,4.000,6.000
38673,35.000,4.000,6.000
43829,35.000,4.000,6.000
50951,35.000,4.000,6.000
50978,35.000,4.000,6.000
50983,35.000,4.000,6.000
51009,35.000,4.000,6.000
51649,35.000,4.000,6.000
51667,35.000,4.000,6.000
51713,35.000,4.000,6.000
133495,35.000,4.000,6.000
133498,35.000,4.000,6.000
133501,35.000,4.000,6.000
163972,35.000,4.000,6.000
176224,35.000,4.000,6.000
285188,35.000,4.000,6.000
560992,35.000,4.000,6.000
735573,35.000,4.000,6.000
735574,35.000,4.000,6.000
735578,35.000,4.000,6.000
795505,35.000,4.000,6.000
795506,35.000,4.000,6.000
795507,35.000,4.000,6.000
797297,35.000,4.000,6.000
800320,35.000,4.000,6.000
808965,35.000,4.000,6.000
965684,35.000,4.000,6.000
965685,35.000,4.000,6.000
966120,35.000,4.000,6.000
966124,35.000,4.000,6.000
966125,35.000,4.000,6.000
